date,medicine_id,dispensed_units
2026-04-05,MED001,18
2026-04-05,MED002,16
2026-04-05,MED003,4
2026-04-05,MED004,7
2026-04-05,MED005,30
2026-04-05,MED006,2
2026-04-05,MED007,2
2026-04-05,MED008,5
2026-04-06,MED001,18
2026-04-06,MED002,16
2026-04-06,MED003,4
2026-04-06,MED004,7
2026-04-06,MED005,20
2026-04-06,MED006,2
2026-04-06,MED007,2
2026-04-06,MED008,5
2026-04-07,MED001,18
2026-04-07,MED002,16
2026-04-07,MED003,4
2026-04-07,MED004,7
2026-04-07,MED005,20
2026-04-07,MED006,2
2026-04-07,MED007,2
2026-04-07,MED008,5
2026-04-08,MED001,18
2026-04-08,MED002,16
2026-04-08,MED003,4
2026-04-08,MED004,7
2026-04-08,MED005,20
2026-04-08,MED006,2
2026-04-08,MED007,2
2026-04-08,MED008,5
2026-04-09,MED001,18
2026-04-09,MED002,16
2026-04-09,MED003,4
2026-04-09,MED004,7
2026-04-09,MED005,20
2026-04-09,MED006,2
2026-04-09,MED007,2
2026-04-09,MED008,5
2026-04-10,MED001,18
2026-04-10,MED002,16
2026-04-10,MED003,4
2026-04-10,MED004,7
2026-04-10,MED005,20
2026-04-10,MED006,2
2026-04-10,MED007,2
2026-04-10,MED008,5
2026-04-11,MED001,18
2026-04-11,MED002,16
2026-04-11,MED003,4
2026-04-11,MED004,7
2026-04-11,MED005,20
2026-04-11,MED006,2
2026-04-11,MED007,2
2026-04-11,MED008,5
2026-04-12,MED001,18
2026-04-12,MED002,16
2026-04-12,MED003,4
2026-04-12,MED004,7
2026-04-12,MED005,30
2026-04-12,MED006,2
2026-04-12,MED007,2
2026-04-12,MED008,5
2026-04-13,MED001,18
2026-04-13,MED002,16
2026-04-13,MED003,4
2026-04-13,MED004,7
2026-04-13,MED005,20
2026-04-13,MED006,2
2026-04-13,MED007,2
2026-04-13,MED008,5
2026-04-14,MED001,18
2026-04-14,MED002,16
2026-04-14,MED003,4
2026-04-14,MED004,7
2026-04-14,MED005,20
2026-04-14,MED006,2
2026-04-14,MED007,2
2026-04-14,MED008,5
2026-04-15,MED001,18
2026-04-15,MED002,16
2026-04-15,MED003,4
2026-04-15,MED004,7
2026-04-15,MED005,20
2026-04-15,MED006,2
2026-04-15,MED007,2
2026-04-15,MED008,5
2026-04-16,MED001,18
2026-04-16,MED002,16
2026-04-16,MED003,4
2026-04-16,MED004,7
2026-04-16,MED005,20
2026-04-16,MED006,2
2026-04-16,MED007,2
2026-04-16,MED008,5
2026-04-17,MED001,18
2026-04-17,MED002,16
2026-04-17,MED003,4
2026-04-17,MED004,7
2026-04-17,MED005,20
2026-04-17,MED006,2
2026-04-17,MED007,2
2026-04-17,MED008,5
2026-04-18,MED001,18
2026-04-18,MED002,16
2026-04-18,MED003,4
2026-04-18,MED004,7
2026-04-18,MED005,20
2026-04-18,MED006,2
2026-04-18,MED007,2
2026-04-18,MED008,5
2026-04-19,MED001,18
2026-04-19,MED002,16
2026-04-19,MED003,4
2026-04-19,MED004,7
2026-04-19,MED005,30
2026-04-19,MED006,2
2026-04-19,MED007,2
2026-04-19,MED008,5
2026-04-20,MED001,18
2026-04-20,MED002,16
2026-04-20,MED003,4
2026-04-20,MED004,7
2026-04-20,MED005,20
2026-04-20,MED006,2
2026-04-20,MED007,2
2026-04-20,MED008,5
2026-04-21,MED001,18
2026-04-21,MED002,16
2026-04-21,MED003,4
2026-04-21,MED004,7
2026-04-21,MED005,20
2026-04-21,MED006,3
2026-04-21,MED007,2
2026-04-21,MED008,5
2026-04-22,MED001,18
2026-04-22,MED002,16
2026-04-22,MED003,4
2026-04-22,MED004,7
2026-04-22,MED005,20
2026-04-22,MED006,3
2026-04-22,MED007,2
2026-04-22,MED008,5
2026-04-23,MED001,18
2026-04-23,MED002,16
2026-04-23,MED003,4
2026-04-23,MED004,7
2026-04-23,MED005,20
2026-04-23,MED006,3
2026-04-23,MED007,2
2026-04-23,MED008,5
2026-04-24,MED001,18
2026-04-24,MED002,16
2026-04-24,MED003,4
2026-04-24,MED004,7
2026-04-24,MED005,20
2026-04-24,MED006,3
2026-04-24,MED007,2
2026-04-24,MED008,5
2026-04-25,MED001,18
2026-04-25,MED002,16
2026-04-25,MED003,4
2026-04-25,MED004,7
2026-04-25,MED005,20
2026-04-25,MED006,3
2026-04-25,MED007,2
2026-04-25,MED008,5
2026-04-26,MED001,18
2026-04-26,MED002,16
2026-04-26,MED003,4
2026-04-26,MED004,12
2026-04-26,MED005,30
2026-04-26,MED006,3
2026-04-26,MED007,2
2026-04-26,MED008,5
2026-04-27,MED001,18
2026-04-27,MED002,16
2026-04-27,MED003,4
2026-04-27,MED004,12
2026-04-27,MED005,20
2026-04-27,MED006,3
2026-04-27,MED007,2
2026-04-27,MED008,5
2026-04-28,MED001,18
2026-04-28,MED002,16
2026-04-28,MED003,4
2026-04-28,MED004,12
2026-04-28,MED005,20
2026-04-28,MED006,3
2026-04-28,MED007,2
2026-04-28,MED008,5
2026-04-29,MED001,18
2026-04-29,MED002,16
2026-04-29,MED003,4
2026-04-29,MED004,12
2026-04-29,MED005,20
2026-04-29,MED006,3
2026-04-29,MED007,2
2026-04-29,MED008,5
2026-04-30,MED001,18
2026-04-30,MED002,16
2026-04-30,MED003,4
2026-04-30,MED004,12
2026-04-30,MED005,20
2026-04-30,MED006,3
2026-04-30,MED007,2
2026-04-30,MED008,5
2026-05-01,MED001,18
2026-05-01,MED002,16
2026-05-01,MED003,4
2026-05-01,MED004,12
2026-05-01,MED005,20
2026-05-01,MED006,3
2026-05-01,MED007,2
2026-05-01,MED008,5
2026-05-02,MED001,18
2026-05-02,MED002,16
2026-05-02,MED003,4
2026-05-02,MED004,12
2026-05-02,MED005,20
2026-05-02,MED006,3
2026-05-02,MED007,2
2026-05-02,MED008,5
2026-05-03,MED001,18
2026-05-03,MED002,16
2026-05-03,MED003,4
2026-05-03,MED004,12
2026-05-03,MED005,30
2026-05-03,MED006,3
2026-05-03,MED007,2
2026-05-03,MED008,5
2026-05-04,MED001,18
2026-05-04,MED002,16
2026-05-04,MED003,4
2026-05-04,MED004,12
2026-05-04,MED005,20
2026-05-04,MED006,3
2026-05-04,MED007,2
2026-05-04,MED008,5
