medicine_id,supplier_name,lead_time_days,unit_cost
MED001,Supplier A,12,2.1
MED001,Supplier B,5,2.45
MED001,Supplier C,3,3.1
MED002,Supplier A,7,0.15
MED002,Supplier D,4,0.22
MED003,ColdChain Meds,9,18.5
MED003,Emergency Pharma,4,24.0
MED004,Supplier B,8,5.1
MED004,Supplier C,3,6.3
MED005,Supplier A,12,0.04
MED005,Supplier D,6,0.06
MED006,MaternalCare Supply,10,1.8
MED006,Emergency Pharma,12,2.7
MED007,RespiraMed,6,8.2
MED007,Supplier D,11,7.1
MED008,Supplier B,7,3.2
MED008,Emergency Pharma,3,4.6
